fight,fighter,opponent,result
9be14b958737f074,93fe7332d16c6ad9,343d57cde1a14338,loss
bcb38a9d29822d3d,93fe7332d16c6ad9,377bc9dc0b2745f9,win
38231925d72d1309,15df64c02b6b0fde,04d5718ed2661e8c,loss
387bdcc2ca8709c1,15df64c02b6b0fde,c8136ab8aa32c974,loss
ce99b089400a4ad3,59a9d6dac61c2540,eb393afdbe3293d5,loss
8380f331f1102802,4961467134abd8be,ad5cb64af10fc946,loss
7067ccf701531a60,b361180739bed4b0,27541033b97c076d,loss
62de80851ebcc85a,b361180739bed4b0,f0abbb6f3444dae7,loss
148ded708e1db0a0,b361180739bed4b0,2eae41f61776c60f,loss
d1d33be012417f75,b361180739bed4b0,4e9fb05d7e5e61b8,loss
ffe629a5232a878b,b361180739bed4b0,08ae5cd9aef7ddd3,loss
a85a0831580696ff,b361180739bed4b0,1ff9589f9065a9ed,loss
f85bbc760000f001,b361180739bed4b0,b44f39a5c6596953,loss
1e14e79a477f2357,b361180739bed4b0,706404da0775dcbc,win
764e492b55c0ec40,b361180739bed4b0,e06fd1260ac865a7,win
b3cafb4e6e1b2ad0,b361180739bed4b0,33e33d51f289d2a1,loss
0e16795e385e76a7,b361180739bed4b0,0ee783aa00e468f0,loss
d595d2c36ddba8ee,b361180739bed4b0,271fe91f4ba9d2c5,loss
c8ff8a72f3c5a825,b361180739bed4b0,13e62d766b709aa6,win
f84070b049bc14e6,b361180739bed4b0,de3ed2e152520c8d,win
9f6a7aee1fce539a,b361180739bed4b0,977081bc01197656,loss
398ff6015a5ba3b5,b361180739bed4b0,0e9869d712e81f8f,win
0d872527bbb3cd40,b361180739bed4b0,c670aa48827d6be6,loss
6b0430e9c97afec7,b361180739bed4b0,ad047e3073a775f3,win
66c029f49d3c5da6,b361180739bed4b0,1dc56b59cb28425d,loss
43f6b0c40113d0d8,b361180739bed4b0,07a18ae55dfc3cd9,win
88945d70ee6c6467,b361180739bed4b0,c933d423ebdbbbdb,win
a12d3a6c8aaf87ca,3329d692aea4dc28,da7f113b5ea39c43,loss
984ce1062186f3ce,3329d692aea4dc28,f41b9f5efc7162d6,win
5a2b86570110191b,3329d692aea4dc28,1a9480fc288e55d7,nc
08c04f18b0f58d71,841695e02c99a521,f14f644d41ade29f,draw
e011819e721c4a2a,841695e02c99a521,7eaa5e31c2dd86aa,win
ea6427379a83bd01,841695e02c99a521,866fd7b1a6c90e7f,win
0182542fe245123e,841695e02c99a521,b4443fae47e7eb9d,win
fffdc57255274be1,2f5cbecbbe18bac4,41e83a89929d1327,loss
ae989e21c3839b49,2f5cbecbbe18bac4,f14cf73e51b29254,loss
f085f32bbb3220e1,2f5cbecbbe18bac4,d0aaedcf7ccd0b45,loss
066756ea40b134a7,2f5cbecbbe18bac4,fa6796c55d6c5440,loss
0bc7e4852f75a06d,2f5cbecbbe18bac4,c9cf753cfdf77fc2,win
a7e8416f0d57c8e0,2f5cbecbbe18bac4,3738e68d2261e60f,win
4d5c3ddc740b89ca,2f5cbecbbe18bac4,01b352b6a9074d5c,win
cb1e57b5f8c92922,2f5cbecbbe18bac4,d3df1add9d9a7efb,loss
412735f3e0b66ea6,2f5cbecbbe18bac4,03f982ca3735070c,win
e508ba268cb295c0,2f5cbecbbe18bac4,c727c7d31c50c4cf,win
f9373ab59b7a853b,2f5cbecbbe18bac4,cc900af167fbedfd,loss
2de50e21c8f32761,c0ed7b208197e8de,990060b2a68a7b82,draw
512e65ebe4fea988,c0ed7b208197e8de,16d09e800ad7ec79,loss
484c48d3723e72cd,5140122c3eecd307,e64b96c07d7ce999,loss
194d3950076b2f83,5140122c3eecd307,4c288a2b250bb576,loss
e0e4ce7595b5c26a,5140122c3eecd307,203c957eac95dd87,win
a86b801279e0ef4a,c9f6385af6df66d7,00debc804e2b1cd4,loss
e67e15cc6578d1c3,c9f6385af6df66d7,98ec9f385cca47fc,win
a2308473bcd77da8,c9f6385af6df66d7,19a8cce18a1cef9e,loss
30d0cab706e43838,c9f6385af6df66d7,31ee470ef5dc8d7f,loss
c39da8538d9c0321,aa6e591c2a2cdecd,92fa1401b7927da3,loss
e64310b89b54db3f,aa6e591c2a2cdecd,fb79582c410d049e,win
0fcf42b68f2f0fa3,7279654c7674cd24,5444c5a201d3ee5a,nc
f820c6292e19d854,7279654c7674cd24,0d980975001ae3d8,loss
f711b3ec6bc3c407,7279654c7674cd24,d156513a19acf856,win
14c505d7ad55883c,7279654c7674cd24,d802174b0c0c1f4e,loss
8b5130c2f2723a90,1c5879330d42255f,8ddf9c51c5fdea75,loss
5769c08adc653958,1c5879330d42255f,b2acebbef8da14ea,loss
d825023bc9f343fc,1c5879330d42255f,5e7a28f20927d64a,win
5584458cadd0a0ca,1c5879330d42255f,4f74c8be51db8a37,win
99d0517adc67fc40,989b85f6540c86b1,2bc47c7cc6c05bd7,loss
81b0c08f7503e79a,2620f3eb21c79614,b4bc2e3353a770b5,win
57961c6adebfb13d,83b00f7597e5ac83,e13abac8089a801a,loss
88b1d4f951070f83,83b00f7597e5ac83,85073dbd1be65ed9,loss
0bc354fbb6e99ab6,83b00f7597e5ac83,7e511f8d842a109d,loss
c4f443509308dec6,83b00f7597e5ac83,e51ee8ded927fc51,win
ce7013cf4b6ee053,83b00f7597e5ac83,5bb70ebd65075c5c,win
2b36807773190d38,a77633a989013265,257b0c8d6f199895,loss
85d229f57a94da6c,a77633a989013265,887e09328cd63df1,loss
a679800d2e7c3be2,79cb2a690b9ba5e8,6d68c1afe954f121,loss
1978b44503c3d9ff,79cb2a690b9ba5e8,20999e27ddd94bda,win
ddbe6fd66d7f9e35,79cb2a690b9ba5e8,3cf18e01cb6cbde3,loss
dfbb110855354039,79cb2a690b9ba5e8,6e00cfffd54653c4,loss
85e79748b75eb30e,1338e2c7480bdf9e,881bf86d4cba8578,loss
6c44af21414e4143,1338e2c7480bdf9e,0d7b51c9d2649a6e,loss
7f16e7725245bb2d,1338e2c7480bdf9e,0d8011111be000b2,loss
fe143cb868adfded,1338e2c7480bdf9e,e5549c82bfb5582d,win
04f32bb0c0d3a8cc,1338e2c7480bdf9e,e5549c82bfb5582d,loss
a7eaf7b101166d3e,1338e2c7480bdf9e,13a0275fa13c4d26,win
ca8f73d038c4d6e7,1338e2c7480bdf9e,e1147d3d2dabe1ce,win
6cd44e1b2d093ea4,1338e2c7480bdf9e,7acbb0972e75281a,win
7de9867b7cc2b1b1,1338e2c7480bdf9e,99df7d0a2a08a8a8,loss
fd76b75c28dc247a,1338e2c7480bdf9e,2e5c2aa8e4ab9d82,win
b46f2f007b622bce,1338e2c7480bdf9e,f77c68bb4be8516d,win
2556b7520536ce1d,1338e2c7480bdf9e,e1147d3d2dabe1ce,win
9bfda7c26578aaac,1338e2c7480bdf9e,8c0580d4fff106c1,win
4eb91cfc892a108e,1338e2c7480bdf9e,1f454354805b6f75,win
e4e1d12441b90866,1338e2c7480bdf9e,b1a3e0aca758b322,win
247f9e56965a1c07,1338e2c7480bdf9e,0c6d9ea8306c029e,win
b8b9a8e504d51ba5,1338e2c7480bdf9e,7acbb0972e75281a,win
1cd5d5e271b646a3,1338e2c7480bdf9e,826475cc758e60e6,win
398ff6015a5ba3b5,0e9869d712e81f8f,b361180739bed4b0,loss
f59b1215176636f6,0e9869d712e81f8f,6cbb7661c3258617,win
90bce37a788afeaa,0e9869d712e81f8f,271fe91f4ba9d2c5,loss
5701dbbbfa4f8313,0e9869d712e81f8f,f62850b3c7480db9,win
e39cd3b9d0bf4944,7a846fcbf182a7c8,f782f953bfe7b5f2,loss
823d7037552a8907,ebc5af72ad5a28cb,5f04e3d58d9ce982,loss
e06bfd0100eccbad,a08ddd04eaffd81d,5078e1dacf9d25f4,loss
d9f5d05b07bae09e,a08ddd04eaffd81d,38c7f72747f4f712,loss
c6fc43c351b08bda,a08ddd04eaffd81d,b4192a975027aab6,loss
38957d8eb185391c,a08ddd04eaffd81d,70d2329a92864fdb,win
37a6fc5e69a7932d,a08ddd04eaffd81d,122ac9b816d8b71c,loss
7606d2f8d8b0e889,a08ddd04eaffd81d,2244d9a2b64b8c3b,win
2a8e1f19b8a94295,a08ddd04eaffd81d,68d4a891e5cf2029,loss
